source,target,flow
12061,12009,358
34023,34027,358
36059,12011,358
44007,25017,358
22055,48201,358
24009,24037,357
6059,6013,356
12031,12086,356
12011,36081,356
12057,12115,356
33015,23031,355
12086,12097,354
12071,48453,353
12011,48201,353
34039,34029,353
36047,34039,353
48201,48061,353
6073,6029,352
12086,32003,352
12127,12069,352
24009,24003,352
34003,34039,352
22063,22105,352
22105,22063,352
6013,6041,351
6111,6029,351
36047,6001,351
53033,15003,351
12011,12103,349
12057,12071,349
25009,25027,349
48201,48355,349
22033,22051,348
34017,36005,347
36061,34027,347
6081,6077,346
23011,23025,345
24033,51153,345
9001,12099,344
25017,11001,344
41039,41043,344
6001,4013,343
24003,24035,343
53061,53073,343
6075,17031,342
12071,12099,342
12011,17031,342
12011,13121,341
12069,12097,341
6081,6095,340
6037,6095,340
36047,12099,340
41039,41067,340
6037,4015,339
6037,48085,339
6083,6073,339
6075,41051,339
12099,6037,339
34021,34025,339
36119,36059,339
6081,6073,338
12086,12103,337
36047,11001,337
1003,12033,336
12071,12095,336
36119,12099,336
22033,48453,336
6037,6053,335
25025,36047,335
25017,6085,335
34001,34011,335
25025,44007,334
36119,36071,334
36005,36103,334
12086,13121,333
34013,34035,333
45053,45013,333
12011,12105,332
11001,48453,331
12021,12086,331
34021,34035,331
6013,6097,330
42017,42077,330
48201,22033,330
6059,17031,329
25017,44007,329
34003,36005,329
42017,34005,329
48201,36061,329
48201,48027,329
53033,53057,329
6059,36061,328
12103,12053,328
25017,53033,328
6037,32031,327
9001,36081,326
12009,12061,326
24510,11001,326
28045,28047,326
6085,6097,325
25025,17031,324
34011,34001,324
53033,41067,324
6013,6059,323
24003,24009,323
12086,12009,322
34017,34035,322
44007,25025,322
6085,6019,321
36047,12095,321
6073,36061,320
6111,4013,320
34001,34009,320
36081,36071,320
36061,6001,320
12069,12127,319
13179,13051,319
36061,6073,319
45013,45053,319
6053,6037,318
12117,12009,318
34011,34015,318
36061,13121,318
6037,51059,317
12099,12031,317
34023,36081,317
6085,36061,316
36061,9009,316
53027,53067,316
12099,12009,315
12011,12117,314
53033,53077,314
48201,48209,313
53061,4013,313
34035,34021,311
36081,48201,311
22051,22033,311
6081,6097,310
12011,12021,310
34025,34021,310
34013,34029,310
22051,22095,310
34013,34025,309
6037,47037,308
12111,12086,308
36047,9009,308
36047,25017,308
53033,53037,308
6059,6029,307
12083,12119,307
34015,34033,307
36103,36005,306
36061,36087,306
36061,48113,306
6037,8041,305
12019,12109,305
41019,41039,305
53045,53067,305
6097,6067,304
11001,25017,304
12115,12103,304
36005,36087,304
12009,12011,303
34039,34003,303
6083,6059,302
25017,6073,302
34005,42017,302
12017,12083,301
24003,11001,301
36061,6059,301
12009,12117,300
12129,12073,300
44005,25005,300
53053,15003,300
53035,53045,300
25025,25001,299
34025,36047,299
36059,36005,299
12033,1003,298
34013,36081,298
53061,53035,298
22033,22121,298
10005,10003,297
23031,33015,297
23011,23005,297
12031,12099,296
12057,48201,296
25005,25027,296
36061,36071,296
24047,24045,295
28047,28045,295
53057,53033,295
12117,12097,294
25001,25025,293
6073,6083,292
12099,12071,292
25001,25021,292
22019,48201,292
6097,6013,291
12081,12021,291
34021,36061,291
53029,53033,291
6037,53061,290
12033,6073,290
34003,12099,290
6037,6041,289
12009,12057,289
12086,12117,288
12021,12011,288
12011,12127,288
34017,6037,288
6073,41051,287
6097,6033,287
12011,12073,287
53033,48201,287
22055,22045,287
10005,24045,286
12031,6073,286
12099,36059,286
24045,10005,286
36047,34029,286
6037,6061,285
6053,6073,285
34023,34005,285
36103,36119,285
48061,48453,285
6055,6097,284
12083,12095,284
25017,6001,283
36061,24031,283
48201,8031,283
6059,15003,282
12127,12031,282
34017,34029,282
36103,12011,282
22005,22063,282
6037,6099,281
6037,12095,281
48201,48373,281
6095,6075,280
6059,6081,279
6087,6001,279
9003,25017,279
12103,12011,279
13179,13183,279
25017,48453,279
36047,48201,279
36047,53033,279
24045,24047,278
34003,6037,278
12071,12115,277
48201,32003,277
22071,48453,277
6037,48141,276
36081,34039,276
6085,6095,275
6037,8005,275
12035,12109,275
12091,12033,275
36119,34003,275
36005,12011,275
36071,36119,275
41039,41017,275
22087,22071,275
12086,12073,274
